language,language_code,iso_code
others,und,None
Chinese (Simplified),zh-CN,BCP-47
Chinese (Simplified),zh,BCP-48
Chinese (Traditional),zh-TW,BCP-49
Azerbaijani,az,ISO-639-1
Thai,th,ISO-639-1
Afrikaans,af,ISO-639-1
Maori,mi,ISO-639-1
Javanese,jv,ISO-639-1
Norwegian,no,ISO-639-1
Tajik,tg,ISO-639-1
Ukrainian,uk,ISO-639-1
Malayalam,ml,ISO-639-1
Pashto,ps,ISO-639-1
Slovenian,sl,ISO-639-1
Bulgarian,bg,ISO-639-1
Bengali,bn,ISO-639-1
French,fr,ISO-639-1
Hausa,ha,ISO-639-1
Danish,da,ISO-639-1
Lithuanian,lt,ISO-639-1
Corsican,co,ISO-639-1
Albanian,sq,ISO-639-1
Spanish,es,ISO-639-1
Swedish,sv,ISO-639-1
Sundanese,su,ISO-639-1
Hungarian,hu,ISO-639-1
German,de,ISO-639-1
Latvian,lv,ISO-639-1
Mongolian,mn,ISO-639-1
Myanmar (Burmese),my,ISO-639-1
Gujarati,gu,ISO-639-1
Indonesian,id,ISO-639-1
Korean,ko,ISO-639-1
Basque,eu,ISO-639-1
Malay,ms,ISO-639-1
Telugu,te,ISO-639-1
Kannada,kn,ISO-639-1
Armenian,hy,ISO-639-1
Scots Gaelic,gd,ISO-639-1
Welsh,cy,ISO-639-1
Khmer,km,ISO-639-1
Uyghur,ug,ISO-639-1
Yoruba,yo,ISO-639-1
Sinhala (Sinhalese),si,ISO-639-1
Nyanja (Chichewa),ny,ISO-639-1
Hebrew,he,ISO-639-1
Vietnamese,vi,ISO-639-1
Tagalog (Filipino),tl,ISO-639-1
Malagasy,mg,ISO-639-1
Igbo,ig,ISO-639-1
Romanian,ro,ISO-639-1
Hindi,hi,ISO-639-1
Punjabi,pa,ISO-639-1
Esperanto,eo,ISO-639-1
Polish,pl,ISO-639-1
Frisian,fy,ISO-639-1
Georgian,ka,ISO-639-1
Hebrew,he,ISO-639-1
"Portuguese (Portugal, Brazil)",pt,ISO-639-1
Irish,ga,ISO-639-1
Sindhi,sd,ISO-639-1
Haitian Creole,ht,ISO-639-1
Italian,it,ISO-639-1
Arabic,ar,ISO-639-1
English,en,ISO-639-1
Yiddish,yi,ISO-639-1
Dutch,nl,ISO-639-1
Hebrew,iw,ISO-639-1
Finnish,fi,ISO-639-1
Croatian,hr,ISO-639-1
Galician,gl,ISO-639-1
Zulu,zu,ISO-639-1
Marathi,mr,ISO-639-1
Kinyarwanda,rw,ISO-639-1
Tamil,ta,ISO-639-1
Kyrgyz,ky,ISO-639-1
Shona,sn,ISO-639-1
Maltese,mt,ISO-639-1
Kazakh,kk,ISO-639-1
Tatar,tt,ISO-639-1
Uzbek,uz,ISO-639-1
Urdu,ur,ISO-639-1
Greek,el,ISO-639-1
Slovak,sk,ISO-639-1
Persian,fa,ISO-639-1
Latin,la,ISO-639-1
Macedonian,mk,ISO-639-1
Turkish,tr,ISO-639-1
Czech,cs,ISO-639-1
Odia (Oriya),or,ISO-639-1
Luxembourgish,lb,ISO-639-1
Catalan,ca,ISO-639-1
Bosnian,bs,ISO-639-1
Turkmen,tk,ISO-639-1
Xhosa,xh,ISO-639-1
Japanese,ja,ISO-639-1
Russian,ru,ISO-639-1
Swahili,sw,ISO-639-1
Amharic,am,ISO-639-1
Icelandic,is,ISO-639-1
Nepali,ne,ISO-639-1
Sesotho,st,ISO-639-1
Somali,so,ISO-639-1
Kurdish,ku,ISO-639-1
Estonian,et,ISO-639-1
Serbian,sr,ISO-639-1
Lao,lo,ISO-639-1
Belarusian,be,ISO-639-1
Samoan,sm,ISO-639-1
Hawaiian,haw,ISO-639-2
Hmong,hmnÂ ,ISO-639-2
Cebuano,ceb,ISO-639-2
